calendar-year,academic-year,need,setting,population
2017,5,T,G,0.0
2017,5,T,H,0.0
2017,5,T,I,0.0
2017,5,T,J,0.0
2017,5,T,K,0.0
2017,5,T,L,2.0
2017,5,T,O,0.0
2017,5,T,R,0.0
2017,5,U,A,8.0
2017,5,U,B,15.0
2017,5,U,E,0.0
2017,5,U,F,2.0
2017,5,U,G,2.0
2017,5,U,H,0.0
2017,5,U,I,0.0
2017,5,U,J,0.0
2017,5,U,K,0.0
2017,5,U,L,1.0
2017,5,U,O,0.0
2017,5,U,R,0.0
2017,5,V,A,0.0
2017,5,V,B,3.0
2017,5,V,E,1.0
2017,5,V,F,0.0
2017,5,V,G,0.0
2017,5,V,H,0.0
2017,5,V,I,0.0
2017,5,V,J,0.0
2017,5,V,K,0.0
2017,5,V,L,0.0
2017,5,V,O,0.0
2017,5,V,R,0.0
2017,5,W,A,0.0
2017,5,W,B,0.0
2017,5,W,E,0.0
2017,5,W,F,0.0
2017,5,W,G,0.0
2017,5,W,H,0.0
2017,5,W,I,0.0
2017,5,W,J,0.0
2017,5,W,K,0.0
2017,5,W,L,0.0
2017,5,W,O,0.0
2017,5,W,R,0.0
2017,5,X,A,4.0
2017,5,X,B,9.0
2017,5,X,E,1.0
2017,5,X,F,0.0
2017,5,X,G,0.0
2017,5,X,H,0.0
2017,5,X,I,0.0
2017,5,X,J,0.0
2017,5,X,K,0.0
2017,5,X,L,0.0
2017,5,X,O,0.0
2017,5,X,R,0.0
2017,5,Y,A,2.0
2017,5,Y,B,8.0
2017,5,Y,E,0.0
2017,5,Y,F,3.0
2017,5,Y,G,1.0
2017,5,Y,H,0.0
2017,5,Y,I,0.0
2017,5,Y,J,0.0
2017,5,Y,K,0.0
2017,5,Y,L,1.0
2017,5,Y,O,1.0
2017,5,Y,R,0.0
2017,6,T,A,18.0
2017,6,T,B,64.0
2017,6,T,C,0.0
2017,6,T,D,0.0
2017,6,T,E,1.0
2017,6,T,F,6.0
2017,6,T,G,0.0
2017,6,T,H,0.0
2017,6,T,I,0.0
2017,6,T,J,0.0
2017,6,T,K,1.0
2017,6,T,L,1.0
2017,6,T,M,0.0
2017,6,T,O,0.0
2017,6,T,R,0.0
2017,6,U,A,7.0
2017,6,U,B,15.0
2017,6,U,C,0.0
2017,6,U,D,0.0
2017,6,U,E,0.0
2017,6,U,F,0.0
2017,6,U,G,0.0
2017,6,U,H,1.0
2017,6,U,I,0.0
2017,6,U,J,2.0
2017,6,U,K,0.0
2017,6,U,L,1.0
2017,6,U,M,0.0
2017,6,U,O,0.0
2017,6,U,R,1.0
2017,6,V,A,0.0
2017,6,V,B,1.0
2017,6,V,C,0.0
2017,6,V,D,0.0
2017,6,V,E,0.0
2017,6,V,F,0.0
2017,6,V,G,0.0
2017,6,V,H,0.0
2017,6,V,I,0.0
2017,6,V,J,0.0
2017,6,V,K,0.0
2017,6,V,L,0.0
2017,6,V,M,0.0
2017,6,V,O,0.0
2017,6,V,R,0.0
2017,6,W,A,0.0
2017,6,W,B,0.0
2017,6,W,C,0.0
2017,6,W,D,0.0
2017,6,W,E,0.0
2017,6,W,F,0.0
2017,6,W,G,0.0
2017,6,W,H,0.0
2017,6,W,I,0.0
2017,6,W,J,0.0
2017,6,W,K,0.0
2017,6,W,L,0.0
2017,6,W,M,0.0
2017,6,W,O,0.0
2017,6,W,R,1.0
2017,6,X,A,6.0
2017,6,X,B,6.0
2017,6,X,C,0.0
2017,6,X,D,1.0
2017,6,X,E,1.0
2017,6,X,F,0.0
2017,6,X,G,0.0
2017,6,X,H,0.0
2017,6,X,I,0.0
2017,6,X,J,0.0
2017,6,X,K,0.0
2017,6,X,L,0.0
2017,6,X,M,0.0
2017,6,X,O,0.0
2017,6,X,R,0.0
2017,6,Y,A,0.0
2017,6,Y,B,9.0
2017,6,Y,C,0.0
2017,6,Y,D,0.0
2017,6,Y,E,0.0
2017,6,Y,F,3.0
2017,6,Y,G,0.0
2017,6,Y,H,0.0
2017,6,Y,I,0.0
2017,6,Y,J,0.0
2017,6,Y,K,0.0
2017,6,Y,L,0.0
2017,6,Y,M,0.0
2017,6,Y,O,1.0
2017,6,Y,R,0.0
2017,7,T,A,20.0
2017,7,T,B,51.0
2017,7,T,C,0.0
2017,7,T,D,0.0
2017,7,T,E,4.0
2017,7,T,F,0.0
2017,7,T,G,1.0
2017,7,T,H,0.0
2017,7,T,I,3.0
2017,7,T,J,0.0
2017,7,T,K,1.0
2017,7,T,L,0.0
2017,7,T,M,0.0
2017,7,T,R,0.0
2017,7,U,A,2.0
2017,7,U,B,27.0
2017,7,U,C,0.0
2017,7,U,D,0.0
2017,7,U,E,0.0
2017,7,U,F,0.0
2017,7,U,G,0.0
2017,7,U,H,0.0
2017,7,U,I,1.0
2017,7,U,J,3.0
2017,7,U,K,0.0
2017,7,U,L,0.0
2017,7,U,M,0.0
2017,7,U,R,0.0
2017,7,V,A,1.0
2017,7,V,B,2.0
2017,7,V,C,0.0
2017,7,V,D,0.0
2017,7,V,E,0.0
2017,7,V,F,0.0
2017,7,V,G,0.0
2017,7,V,H,0.0
2017,7,V,I,0.0
2017,7,V,J,0.0
2017,7,V,K,0.0
2017,7,V,L,0.0
2017,7,V,M,0.0
2017,7,V,R,0.0
2017,7,W,A,0.0
2017,7,W,B,0.0
2017,7,W,C,0.0
2017,7,W,D,0.0
2017,7,W,E,0.0
2017,7,W,F,0.0
2017,7,W,G,0.0
2017,7,W,H,0.0
2017,7,W,I,0.0
2017,7,W,J,0.0
2017,7,W,K,0.0
2017,7,W,L,0.0
2017,7,W,M,0.0
2017,7,W,R,1.0
2017,7,X,A,3.0
2017,7,X,B,10.0
2017,7,X,C,0.0
2017,7,X,D,6.0
2017,7,X,E,0.0
2017,7,X,F,0.0
2017,7,X,G,0.0
2017,7,X,H,0.0
2017,7,X,I,0.0
2017,7,X,J,0.0
2017,7,X,K,0.0
2017,7,X,L,0.0
2017,7,X,M,0.0
2017,7,X,R,0.0
2017,7,Y,A,1.0
2017,7,Y,B,10.0
2017,7,Y,C,0.0
2017,7,Y,D,0.0
2017,7,Y,E,0.0
2017,7,Y,F,4.0
2017,7,Y,G,0.0
2017,7,Y,H,0.0
2017,7,Y,I,3.0
2017,7,Y,J,1.0
2017,7,Y,K,0.0
2017,7,Y,L,0.0
2017,7,Y,M,0.0
2017,7,Y,R,0.0
2017,8,T,A,13.0
2017,8,T,B,42.0
2017,8,T,C,0.0
2017,8,T,D,0.0
2017,8,T,E,1.0
2017,8,T,F,0.0
