ay,need,setting,alpha,beta,expectation
0,UKN,MSSOB,0.11686747,0.8831325,0.11686747
0,UKN,MU,0.11686747,1.8831326,0.058433734
0,UKN,MUOB,0.11686747,0.8831325,0.11686747
0,UKN,NMSS,0.11686747,0.8831325,0.11686747
0,UKN,NMSSR,0.11686747,0.8831325,0.11686747
0,UKN,OOE,0.11686747,0.8831325,0.11686747
1,CI,EO,0.064671814,1.9353281,0.032335907
1,CI,IMS,1.0646719,0.9353282,0.53233594
1,CI,ISS,0.064671814,1.9353281,0.032335907
1,CI,ISSR,0.064671814,0.9353282,0.064671814
1,CI,MMS,0.064671814,0.9353282,0.064671814
1,CI,MMSIB,16.064672,202.93533,0.07335467
1,CI,MMSOB,0.064671814,1.9353281,0.032335907
1,CI,MSS,0.064671814,0.9353282,0.064671814
1,CI,MSSIB,0.064671814,62.93533,0.0010265367
1,CI,MSSOB,0.064671814,1.9353281,0.032335907
1,CI,MU,4.064672,26.935328,0.13111845
1,CI,MUOB,0.064671814,0.9353282,0.064671814
1,CI,NMSS,0.064671814,1.9353281,0.032335907
1,CI,NMSSR,0.064671814,0.9353282,0.064671814
1,CI,OOE,0.064671814,1.9353281,0.032335907
1,CL,EO,0.064671814,1.9353281,0.032335907
1,CL,IMS,0.064671814,0.9353282,0.064671814
1,CL,ISS,0.064671814,0.9353282,0.064671814
1,CL,ISSR,0.064671814,0.9353282,0.064671814
1,CL,MMS,0.064671814,0.9353282,0.064671814
1,CL,MMSIB,3.0646718,57.93533,0.05024052
1,CL,MMSOB,0.064671814,3.9353282,0.016167954
1,CL,MSS,0.064671814,0.9353282,0.064671814
1,CL,MSSIB,0.064671814,43.93533,0.001469814
1,CL,MSSOB,0.064671814,1.9353281,0.032335907
1,CL,MU,1.0646719,2.9353282,0.26616797
1,CL,MUOB,0.064671814,0.9353282,0.064671814
1,CL,NMSS,0.064671814,0.9353282,0.064671814
1,CL,NMSSR,0.064671814,0.9353282,0.064671814
1,CL,OOE,0.064671814,0.9353282,0.064671814
1,OTH,EO,0.064671814,0.9353282,0.064671814
1,OTH,IMS,0.064671814,0.9353282,0.064671814
1,OTH,ISS,0.064671814,0.9353282,0.064671814
1,OTH,ISSR,0.064671814,0.9353282,0.064671814
1,OTH,MMS,0.064671814,0.9353282,0.064671814
1,OTH,MMSIB,1.0646719,6.935328,0.13308398
1,OTH,MMSOB,0.064671814,1.9353281,0.032335907
1,OTH,MSS,0.064671814,0.9353282,0.064671814
1,OTH,MSSIB,0.064671814,0.9353282,0.064671814
1,OTH,MSSOB,0.064671814,0.9353282,0.064671814
1,OTH,MU,0.064671814,0.9353282,0.064671814
1,OTH,MUOB,0.064671814,0.9353282,0.064671814
1,OTH,NMSS,0.064671814,0.9353282,0.064671814
1,OTH,NMSSR,0.064671814,0.9353282,0.064671814
1,OTH,OOE,0.064671814,2.9353282,0.021557271
1,SEMH,EO,0.064671814,0.9353282,0.064671814
1,SEMH,IMS,0.064671814,0.9353282,0.064671814
1,SEMH,ISS,0.064671814,0.9353282,0.064671814
1,SEMH,ISSR,0.064671814,0.9353282,0.064671814
1,SEMH,MMS,0.064671814,0.9353282,0.064671814
1,SEMH,MMSIB,4.064672,6.935328,0.36951563
1,SEMH,MMSOB,0.064671814,0.9353282,0.064671814
1,SEMH,MSS,0.064671814,0.9353282,0.064671814
1,SEMH,MSSIB,0.064671814,2.9353282,0.021557271
1,SEMH,MSSOB,0.064671814,1.9353281,0.032335907
1,SEMH,MU,0.064671814,0.9353282,0.064671814
1,SEMH,MUOB,0.064671814,0.9353282,0.064671814
1,SEMH,NMSS,0.064671814,0.9353282,0.064671814
1,SEMH,NMSSR,0.064671814,0.9353282,0.064671814
1,SEMH,OOE,0.064671814,0.9353282,0.064671814
1,SP,EO,0.064671814,0.9353282,0.064671814
1,SP,IMS,0.064671814,1.9353281,0.032335907
1,SP,ISS,0.064671814,0.9353282,0.064671814
1,SP,ISSR,0.064671814,0.9353282,0.064671814
1,SP,MMS,0.064671814,0.9353282,0.064671814
1,SP,MMSIB,0.064671814,24.935328,0.0025868725
