calendar-year,academic-year,need,setting,population
2017,0,CI,NMSS,0.0
2017,0,CI,NMSSR,0.0
2017,0,CI,OOE,1.0
2017,0,CL,EO,0.0
2017,0,CL,EYS,0.0
2017,0,CL,IMS,0.0
2017,0,CL,ISS,0.0
2017,0,CL,ISSR,0.0
2017,0,CL,MMS,0.0
2017,0,CL,MMSIB,18.0
2017,0,CL,MMSOB,0.0
2017,0,CL,MSS,0.0
2017,0,CL,MSSIB,11.0
2017,0,CL,MSSOB,0.0
2017,0,CL,MSSOP,0.0
2017,0,CL,MU,0.0
2017,0,CL,MUOB,0.0
2017,0,CL,NMSS,0.0
2017,0,CL,NMSSR,0.0
2017,0,CL,OOE,0.0
2017,0,OTH,EO,0.0
2017,0,OTH,EYS,0.0
2017,0,OTH,IMS,0.0
2017,0,OTH,ISS,0.0
2017,0,OTH,ISSR,0.0
2017,0,OTH,MMS,0.0
2017,0,OTH,MMSIB,1.0
2017,0,OTH,MMSOB,0.0
2017,0,OTH,MSS,0.0
2017,0,OTH,MSSIB,0.0
2017,0,OTH,MSSOB,0.0
2017,0,OTH,MSSOP,0.0
2017,0,OTH,MU,0.0
2017,0,OTH,MUOB,0.0
2017,0,OTH,NMSS,0.0
2017,0,OTH,NMSSR,0.0
2017,0,OTH,OOE,0.0
2017,0,SEMH,EO,0.0
2017,0,SEMH,EYS,0.0
2017,0,SEMH,IMS,0.0
2017,0,SEMH,ISS,0.0
2017,0,SEMH,ISSR,0.0
2017,0,SEMH,MMS,0.0
2017,0,SEMH,MMSIB,0.0
2017,0,SEMH,MMSOB,0.0
2017,0,SEMH,MSS,0.0
2017,0,SEMH,MSSIB,0.0
2017,0,SEMH,MSSOB,0.0
2017,0,SEMH,MSSOP,0.0
2017,0,SEMH,MU,0.0
2017,0,SEMH,MUOB,0.0
2017,0,SEMH,NMSS,0.0
2017,0,SEMH,NMSSR,0.0
2017,0,SEMH,OOE,0.0
2017,0,SP,EO,0.0
2017,0,SP,EYS,0.0
2017,0,SP,IMS,0.0
2017,0,SP,ISS,0.0
2017,0,SP,ISSR,0.0
2017,0,SP,MMS,0.0
2017,0,SP,MMSIB,4.0
2017,0,SP,MMSOB,0.0
2017,0,SP,MSS,0.0
2017,0,SP,MSSIB,0.0
2017,0,SP,MSSOB,0.0
2017,0,SP,MSSOP,0.0
2017,0,SP,MU,6.0
2017,0,SP,MUOB,0.0
2017,0,SP,NMSS,0.0
2017,0,SP,NMSSR,0.0
2017,0,SP,OOE,0.0
